Name,Composition,Formation Energy
7811_t1_dilute.POSCAR,Al0.59090909 Ni0.40909091,-0.5278623104095459
7786_t1_dilute.POSCAR,Al0.68181818 Ni0.31818182,-0.5016453862190247
651_t1_endmembers.POSCAR,Al0.54545455 Ni0.45454545,-0.5012638568878174
649_t1_endmembers.POSCAR,Al0.72727273 Ni0.27272727,-0.4503085315227508
7492_t1_dilute.POSCAR,Al0.36363636 Fe0.31818182 Ni0.31818182,-0.3951325714588165
1658_t1_dilute.POSCAR,Al0.40909091 Fe0.36363636 Ni0.22727273,-0.3655102550983429
7489_t1_dilute.POSCAR,Al0.40909091 Fe0.36363636 Ni0.22727273,-0.3655102550983429
132_t1_dilute.POSCAR,Al0.63636364 Fe0.31818182 Ni0.04545455,-0.3458541929721832
126_t1_dilute.POSCAR,Al0.59090909 Fe0.36363636 Ni0.04545455,-0.34011808037757874
439_t1_dilute.POSCAR,Al0.68181818 Fe0.31818182,-0.3182682693004608
985_t1_dilute.POSCAR,Al0.59090909 Fe0.40909091,-0.3085836470127105
3901_t1_dilute.POSCAR,Al0.59090909 Fe0.40909091,-0.3085836470127105
325_t1_endmembers.POSCAR,Al0.72727273 Fe0.27272727,-0.3001120388507843
55_t1_endmembers.POSCAR,Al0.81818182 Ni0.18181818,-0.28655728697776794
3889_t1_dilute.POSCAR,Al0.77272727 Fe0.22727273,-0.2711863815784454
973_t1_dilute.POSCAR,Al0.77272727 Fe0.22727273,-0.2711863815784454
81_t1_endmembers.POSCAR,Al0.27272727 Ni0.72727273,-0.2567613422870636
82_t1_endmembers.POSCAR,Al0.81818182 Fe0.18181818,-0.23657439649105072
329_t1_dilute.POSCAR,Al0.86363636 Fe0.13636364,-0.1998802870512008
244_t1_endmembers.POSCAR,Al0.90909091 Fe0.09090909,-0.1560587137937545
727_t1_endmembers.POSCAR,Al0.18181818 Ni0.81818182,-0.15080510079860682
3_t1_dilute.POSCAR,Al0.95454545 Fe0.04545455,-0.09924528747797011
2576_t1_dilute.POSCAR,Al0.09090909 Fe0.40909091 Ni0.5,-0.0084969205781817
2480_t1_dilute.POSCAR,Al0.09090909 Fe0.31818182 Ni0.59090909,-0.0057939095422625
1_t1_endmembers.POSCAR,Al1,0.0468627996742725
8401_t1_dilute.POSCAR,Al0.04545455 Fe0.36363636 Ni0.59090909,0.0711454972624778
2570_t1_dilute.POSCAR,Al0.04545455 Fe0.36363636 Ni0.59090909,0.0711454972624778
4855_t1_dilute.POSCAR,Al0.04545455 Fe0.27272727 Ni0.68181818,0.0838859900832176
4379_t1_dilute.POSCAR,Al0.04545455 Fe0.95454545,0.15266115963459012
729_t1_endmembers.POSCAR,Ni1,0.2205672413110733
7308_t1_dilute.POSCAR,Fe0.77272727 Ni0.22727273,0.2446267753839492
4392_t1_dilute.POSCAR,Fe0.86363636 Ni0.13636364,0.2495092302560806
365_t1_endmembers.POSCAR,Fe1,0.2667007744312286
